seq,tag,dbh,year,vigor_base2017,basal_area,bai,rbai,sap_vol,ssc,syrup_vol,crownclass2018,strata.pre,crownclass2020,strata.post,crown.class,ftg2017,pct.open.jan.2019,FTG2019,crown.area.2017,numb.taps2017
16,333,20.75,2020,323.64559584,338.153454,1.9527588863999767,0.6033633429590551,71.62,1.47,1.69,c,upper,c,upper,c,0,45,1,949.66,NA
17,2812,14.6,2016,170.868366,167.41074815999997,NA,NA,NA,NA,NA,i,lower,c,upper,c,45,225,3,494.76,25.5
17,2812,14.75,2017,170.868366,170.868366,3.45761784000004,NA,40.17,1.55,0.85,i,lower,c,upper,c,45,225,3,494.76,25.5
17,2812,14.85,2018,170.868366,173.19307895999998,2.324712959999971,1.3605285837402874,22.64584288,1.74,1.13,i,lower,c,upper,c,45,225,3,494.76,25.5
17,2812,15.1,2019,170.868366,179.07358175999997,5.880502799999988,3.4415397874174016,49.7,3,1.7,i,lower,c,upper,c,45,225,3,494.76,25.5
17,2812,15.2,2020,170.868366,181.45327103999998,2.379689280000008,1.392703246193627,49.12,1.94,1.41,i,lower,c,upper,c,45,225,3,494.76,25.5
18,2811,NA,2016,165.12530399999997,NA,NA,NA,NA,NA,NA,c,upper,c,upper,c,0,315,4,448.87,20.5
18,2811,14.5,2017,165.12530399999997,165.12530399999997,NA,NA,10.53,1.75,0.27,c,upper,c,upper,c,0,315,4,448.87,20.5
18,2811,14.6,2018,165.12530399999997,167.41074815999997,2.2854441599999973,1.3840665873959557,34.25047548,1.62,0.78,c,upper,c,upper,c,0,315,4,448.87,20.5
18,2811,14.7,2019,165.12530399999997,169.71189983999997,2.301151680000004,1.3935790725327017,43.3,2,1,c,upper,c,upper,c,0,315,4,448.87,20.5
18,2811,14.79,2020,165.12530399999997,171.79636628159997,2.0844664416,1.262354340071344,24.19,1.82,0.65,c,upper,c,upper,c,0,315,4,448.87,20.5
19,2810,NA,2016,111.21709536,NA,NA,NA,NA,NA,NA,i,lower,c,upper,i,0,225,3,163.83,13.5
19,2810,11.9,2017,111.21709536,111.21709536,NA,NA,4.52,1.15,0.08,i,lower,c,upper,i,0,225,3,163.83,13.5
19,2810,12,2018,111.21709536,113.094144,1.8770486399999982,1.6877339170962484,25.76102788,1.23,0.23,i,lower,c,upper,i,0,225,3,163.83,13.5
19,2810,12.15,2019,111.21709536,115.93916856,2.845024559999999,2.5580820563519513,29.7,1.4,0.5,i,lower,c,upper,i,0,225,3,163.83,13.5
